	Temperature	Rain	Zipcode	Count	Month	Hour	Weekday
0	45.0	0.0	07030	1	1	0	4
1	45.0	0.0	07058	1	1	0	4
2	45.0	0.0	07070	1	1	0	4
3	45.0	0.0	07093	1	1	0	4
4	45.0	0.0	07302	1	1	0	4
5	45.0	0.0	07304	2	1	0	4
6	45.0	0.0	07311	1	1	0	4
7	45.0	0.0	08832	3	1	0	4
8	45.0	0.0	10001	910	1	0	4
9	45.0	0.0	10002	2485	1	0	4
10	45.0	0.0	10003	718	1	0	4
11	45.0	0.0	10007	163	1	0	4
12	45.0	0.0	10009	1223	1	0	4
13	45.0	0.0	10010	2941	1	0	4
14	45.0	0.0	10011	810	1	0	4
15	45.0	0.0	10012	879	1	0	4
16	45.0	0.0	10013	516	1	0	4
17	45.0	0.0	10014	4	1	0	4
18	45.0	0.0	10016	642	1	0	4
19	45.0	0.0	10017	993	1	0	4
20	45.0	0.0	10018	29	1	0	4
21	45.0	0.0	10019	36	1	0	4
22	45.0	0.0	10020	565	1	0	4
23	45.0	0.0	10021	550	1	0	4
24	45.0	0.0	10022	828	1	0	4
25	45.0	0.0	10023	709	1	0	4
26	45.0	0.0	10024	614	1	0	4
27	45.0	0.0	10025	596	1	0	4
28	45.0	0.0	10026	274	1	0	4
29	45.0	0.0	10027	205	1	0	4
30	45.0	0.0	10028	105	1	0	4
31	45.0	0.0	10029	520	1	0	4
32	45.0	0.0	10030	142	1	0	4
33	45.0	0.0	10031	189	1	0	4
34	45.0	0.0	10032	12	1	0	4
35	45.0	0.0	10033	58	1	0	4
36	45.0	0.0	10034	2	1	0	4
37	45.0	0.0	10035	400	1	0	4
38	45.0	0.0	10036	623	1	0	4
39	45.0	0.0	10037	142	1	0	4
40	45.0	0.0	10038	598	1	0	4
41	45.0	0.0	10040	46	1	0	4
42	45.0	0.0	10044	1411	1	0	4
43	45.0	0.0	10065	1079	1	0	4
44	45.0	0.0	10075	1011	1	0	4
45	45.0	0.0	10128	384	1	0	4
46	45.0	0.0	10301	1	1	0	4
47	45.0	0.0	10305	1	1	0	4
48	45.0	0.0	10451	117	1	0	4
49	45.0	0.0	10452	81	1	0	4
50	45.0	0.0	10453	33	1	0	4
51	45.0	0.0	10454	45	1	0	4
52	45.0	0.0	10455	34	1	0	4
53	45.0	0.0	10456	55	1	0	4
54	45.0	0.0	10457	58	1	0	4
55	45.0	0.0	10458	20	1	0	4
56	45.0	0.0	10459	14	1	0	4
57	45.0	0.0	10460	17	1	0	4
58	45.0	0.0	10461	5	1	0	4
59	45.0	0.0	10462	7	1	0	4
60	45.0	0.0	10463	2	1	0	4
61	45.0	0.0	10465	5	1	0	4
62	45.0	0.0	10466	1	1	0	4
63	45.0	0.0	10467	24	1	0	4
64	45.0	0.0	10468	41	1	0	4
65	45.0	0.0	10469	14	1	0	4
66	45.0	0.0	10472	16	1	0	4
67	45.0	0.0	10473	16	1	0	4
68	45.0	0.0	10474	13	1	0	4
69	45.0	0.0	10475	3	1	0	4
70	45.0	0.0	10504	1	1	0	4
71	45.0	0.0	10704	1	1	0	4
72	45.0	0.0	10805	1	1	0	4
73	45.0	0.0	11010	196	1	0	4
74	45.0	0.0	11101	562	1	0	4
75	45.0	0.0	11102	352	1	0	4
76	45.0	0.0	11103	151	1	0	4
77	45.0	0.0	11104	65	1	0	4
78	45.0	0.0	11105	151	1	0	4
79	45.0	0.0	11106	37	1	0	4
80	45.0	0.0	11109	2	1	0	4
81	45.0	0.0	11201	603	1	0	4
82	45.0	0.0	11203	24	1	0	4
83	45.0	0.0	11205	123	1	0	4
84	45.0	0.0	11206	690	1	0	4
85	45.0	0.0	11207	40	1	0	4
86	45.0	0.0	11208	8	1	0	4
87	45.0	0.0	11209	7	1	0	4
88	45.0	0.0	11210	11	1	0	4
89	45.0	0.0	11211	348	1	0	4
90	45.0	0.0	11212	24	1	0	4
91	45.0	0.0	11213	73	1	0	4
92	45.0	0.0	11215	528	1	0	4
93	45.0	0.0	11216	321	1	0	4
94	45.0	0.0	11217	96	1	0	4
95	45.0	0.0	11218	17	1	0	4
96	45.0	0.0	11219	8	1	0	4
97	45.0	0.0	11220	37	1	0	4
98	45.0	0.0	11221	173	1	0	4
99	45.0	0.0	11222	465	1	0	4
100	45.0	0.0	11223	2	1	0	4
101	45.0	0.0	11224	16	1	0	4
102	45.0	0.0	11225	159	1	0	4
103	45.0	0.0	11226	56	1	0	4
104	45.0	0.0	11228	7	1	0	4
105	45.0	0.0	11229	2	1	0	4
106	45.0	0.0	11230	10	1	0	4
107	45.0	0.0	11231	165	1	0	4
108	45.0	0.0	11232	11	1	0	4
109	45.0	0.0	11233	85	1	0	4
110	45.0	0.0	11234	7	1	0	4
111	45.0	0.0	11235	4	1	0	4
112	45.0	0.0	11236	18	1	0	4
113	45.0	0.0	11237	87	1	0	4
114	45.0	0.0	11238	324	1	0	4
115	45.0	0.0	11239	6	1	0	4
116	45.0	0.0	11249	37	1	0	4
117	45.0	0.0	11354	3	1	0	4
118	45.0	0.0	11355	27	1	0	4
119	45.0	0.0	11358	2	1	0	4
120	45.0	0.0	11361	1	1	0	4
121	45.0	0.0	11367	2	1	0	4
122	45.0	0.0	11368	90	1	0	4
123	45.0	0.0	11369	59	1	0	4
124	45.0	0.0	11370	2	1	0	4
125	45.0	0.0	11372	104	1	0	4
126	45.0	0.0	11373	188	1	0	4
127	45.0	0.0	11374	76	1	0	4
128	45.0	0.0	11375	88	1	0	4
129	45.0	0.0	11377	374	1	0	4
130	45.0	0.0	11378	24	1	0	4
131	45.0	0.0	11379	4	1	0	4
132	45.0	0.0	11385	28	1	0	4
133	45.0	0.0	11411	1	1	0	4
134	45.0	0.0	11412	1	1	0	4
135	45.0	0.0	11413	1	1	0	4
136	45.0	0.0	11415	12	1	0	4
137	45.0	0.0	11416	2	1	0	4
138	45.0	0.0	11417	5	1	0	4
139	45.0	0.0	11418	6	1	0	4
140	45.0	0.0	11419	8	1	0	4
141	45.0	0.0	11420	2	1	0	4
142	45.0	0.0	11421	5	1	0	4
143	45.0	0.0	11427	1	1	0	4
144	45.0	0.0	11428	1	1	0	4
145	45.0	0.0	11430	3	1	0	4
146	45.0	0.0	11432	1	1	0	4
147	45.0	0.0	11433	20	1	0	4
148	45.0	0.0	11435	34	1	0	4
149	45.0	0.0	11436	1	1	0	4
150	45.0	0.0	11691	1	1	0	4
151	44.0	0.0	07030	5	1	1	4
152	44.0	0.0	07070	1	1	1	4
153	44.0	0.0	07082	1	1	1	4
154	44.0	0.0	07086	4	1	1	4
155	44.0	0.0	07087	1	1	1	4
156	44.0	0.0	07093	2	1	1	4
157	44.0	0.0	07094	2	1	1	4
158	44.0	0.0	07302	2	1	1	4
159	44.0	0.0	07305	1	1	1	4
160	44.0	0.0	07310	1	1	1	4
161	44.0	0.0	07311	6	1	1	4
162	44.0	0.0	07626	2	1	1	4
163	44.0	0.0	07642	1	1	1	4
164	44.0	0.0	07666	1	1	1	4
165	44.0	0.0	08832	1	1	1	4
166	44.0	0.0	10001	927	1	1	4
